,iso_code,country,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccine_id,vaccine_names,source_id,source_name,source_website
2282,BLR,Belarus,1/9/2021,0,0,0,0,403,0.0,0.0,0.0,43,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2283,BLR,Belarus,12/28/2020,0,0,0,0,0,0.0,0.0,0.0,0,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2284,BLR,Belarus,12/29/2020,0,0,0,0,403,0.0,0.0,0.0,43,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2285,BLR,Belarus,12/30/2020,0,0,0,0,403,0.0,0.0,0.0,43,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2286,BLR,Belarus,12/31/2020,0,0,0,0,403,0.0,0.0,0.0,43,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2287,BLR,Belarus,2/1/2021,0,0,0,0,403,0.0,0.0,0.0,43,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2288,BLR,Belarus,2/10/2021,0,0,0,0,403,0.0,0.0,0.0,43,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2289,BLR,Belarus,2/11/2021,0,0,0,0,403,0.0,0.0,0.0,43,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2290,BLR,Belarus,2/12/2021,0,0,0,0,403,0.0,0.0,0.0,43,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2291,BLR,Belarus,2/13/2021,0,0,0,0,403,0.0,0.0,0.0,43,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2292,BLR,Belarus,2/14/2021,0,0,0,0,403,0.0,0.0,0.0,43,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2293,BLR,Belarus,2/15/2021,0,0,0,0,403,0.0,0.0,0.0,43,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2294,BLR,Belarus,2/16/2021,0,0,0,0,403,0.0,0.0,0.0,43,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2295,BLR,Belarus,2/17/2021,0,0,0,0,403,0.0,0.0,0.0,43,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2296,BLR,Belarus,2/18/2021,20944,20944,0,0,403,0.22,0.22,0.0,43,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2297,BLR,Belarus,2/19/2021,0,0,0,0,410,0.0,0.0,0.0,43,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2298,BLR,Belarus,2/2/2021,0,0,0,0,403,0.0,0.0,0.0,43,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
