iso_code,country,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccine_id,vaccine_names,source_id,source_name,source_website,dropout_date,vaccine_count,coverage_group,daily_vaccination_7d_avg,vaccination_momentum
OWID_SCT,Scotland,2020-12-22,81911,81905,6,11744,7113,1.5,1.5,0.0,1302,"V007, V008, V009","Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",S046,Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare,99.99267443989989,3,Low,5809.428571428572,8.683815360574282
CHN,China,2020-12-22,0,0,0,0,187500,0.0,0.0,0.0,130,"V003, V012, V014, V015","CanSino, Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",S031,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202106/ddd7b535796040ed8b86f9e34fd218bb.shtml,0.0,4,Low,187500.0,0.0
ISR,Israel,2020-12-22,76915,76915,0,44612,25618,0.89,0.89,0.0,2960,"V007, V009","Moderna, Pfizer/BioNTech",S072,Government of Israel,https://datadashboard.health.gov.il/COVID-19/general,100.0,2,Low,54493.142857142855,33.30689722420854
LIE,Liechtenstein,2020-12-22,0,0,0,0,0,0.0,0.0,0.0,0,"V007, V009","Moderna, Pfizer/BioNTech",S085,Federal Office of Public Health,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses?detGeo=FL,0.0,2,Low,0.5714285714285714,0.0
QAT,Qatar,2020-12-22,0,0,0,0,0,0.0,0.0,0.0,0,"V007, V009","Moderna, Pfizer/BioNTech",S116,Ministry of Public Health,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx,0.0,2,Low,1158.0,0.0
DNK,Denmark,2020-12-22,4,4,0,1,1,0.0,0.0,0.0,0,"V006, V007, V009","Johnson&Johnson, Moderna, Pfizer/BioNTech",S041,Statens Serum Institute,https://covid19.ssi.dk/overvagningsdata/download-fil-med-vaccinationsdata,100.0,3,Low,1376.0,25.0
USA,United States,2020-12-22,0,0,0,0,127432,0.0,0.18,0.0,381,"V006, V007, V009","Johnson&Johnson, Moderna, Pfizer/BioNTech",S146,Centers for Disease Control and Prevention,https://covid.cdc.gov/covid-data-tracker/COVIDData/getAjaxData?id=vaccination_data,0.0,3,Low,257668.14285714287,0.0
RUS,Russia,2020-12-23,0,0,0,0,12592,0.0,0.04,0.0,86,"V005, V017","EpiVacCorona, Sputnik V",S118,Official data from local governments via gogov.ru,https://gogov.ru/articles/covid-v-stats,0.0,2,Low,4676.285714285715,0.0
OWID_SCT,Scotland,2020-12-23,91996,91987,9,10085,7533,1.68,1.68,0.0,1379,"V007, V008, V009","Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",S046,Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare,99.99021600878385,3,Low,6204.142857142857,8.188399495630245
QAT,Qatar,2020-12-23,0,0,0,0,1351,0.0,0.0,0.0,469,"V007, V009","Moderna, Pfizer/BioNTech",S116,Ministry of Public Health,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx,0.0,2,Low,1158.0,0.0
NOR,Norway,2020-12-23,0,0,0,0,0,0.0,0.0,0.0,0,"V007, V009","Moderna, Pfizer/BioNTech",S106,Norwegian Institute of Public Health,https://www.fhi.no/sv/vaksine/koronavaksinasjonsprogrammet/koronavaksinasjonsstatistikk/,0.0,2,Low,0.0,0.0
ISR,Israel,2020-12-23,139748,139748,0,62833,34922,1.61,1.61,0.0,4035,"V007, V009","Moderna, Pfizer/BioNTech",S072,Government of Israel,https://datadashboard.health.gov.il/COVID-19/general,100.0,2,Low,43403.857142857145,24.989266393794544
CHN,China,2020-12-23,0,0,0,0,187500,0.0,0.0,0.0,130,"V003, V012, V014, V015","CanSino, Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",S031,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202106/ddd7b535796040ed8b86f9e34fd218bb.shtml,0.0,4,Low,187500.0,0.0
BHR,Bahrain,2020-12-23,38965,38965,0,0,0,2.29,2.29,0.0,0,"V008, V009, V012, V017","Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",S013,Ministry of Health,https://healthalert.gov.bh/en/,100.0,4,Low,1677.7142857142858,0.0
CAN,Canada,2020-12-23,35089,35089,0,8486,4581,0.09,0.09,0.0,121,"V007, V008, V009","Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",S028,Official data from provinces via covid19tracker.ca,https://covid19tracker.ca/vaccinationtracker.html,100.0,3,Low,2992.714285714286,13.05537347886802
USA,United States,2020-12-23,1008025,1008025,0,0,150606,0.3,0.3,0.0,450,"V006, V007, V009","Johnson&Johnson, Moderna, Pfizer/BioNTech",S146,Centers for Disease Control and Prevention,https://covid.cdc.gov/covid-data-tracker/COVIDData/getAjaxData?id=vaccination_data,100.0,3,Low,227913.7142857143,14.940700875474318
DNK,Denmark,2020-12-23,7,7,0,3,1,0.0,0.0,0.0,0,"V006, V007, V009","Johnson&Johnson, Moderna, Pfizer/BioNTech",S041,Statens Serum Institute,https://covid19.ssi.dk/overvagningsdata/download-fil-med-vaccinationsdata,100.0,3,Low,0.2857142857142857,14.285714285714285
LIE,Liechtenstein,2020-12-23,0,0,0,0,0,0.0,0.0,0.0,0,"V007, V009","Moderna, Pfizer/BioNTech",S085,Federal Office of Public Health,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses?detGeo=FL,0.0,2,Low,0.5714285714285714,0.0
DNK,Denmark,2020-12-24,8,8,0,1,1,0.0,0.0,0.0,0,"V006, V007, V009","Johnson&Johnson, Moderna, Pfizer/BioNTech",S041,Statens Serum Institute,https://covid19.ssi.dk/overvagningsdata/download-fil-med-vaccinationsdata,100.0,3,Low,0.4285714285714285,12.5
BHR,Bahrain,2020-12-24,50071,50071,0,11106,11106,2.94,2.94,0.0,6527,"V008, V009, V012, V017","Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",S013,Ministry of Health,https://healthalert.gov.bh/en/,100.0,4,Low,3129.5714285714284,22.18050368476763
MEX,Mexico,2020-12-24,2924,2924,0,0,0,0.0,0.0,0.0,0,"V003, V008, V009, V015, V017","CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",S093,Secretary of Health,https://www.gob.mx/cms/uploads/attachment/file/647167/2021.06.20_17h00_ComunicadoTecnicoDiario_Covid19.pdf,100.0,5,Low,3983.571428571429,0.0
OWID_SCT,Scotland,2020-12-24,94806,94797,9,2810,6928,1.74,1.74,0.0,1268,"V007, V008, V009","Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",S046,Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare,99.9905060286718,3,Low,6465.857142857143,7.3075543741957265
